							Drilling Data									
							Noblige-1									



DEPTH	TVD	ROP_AVG	WOB_AVG	TORQUE_AVG	TORQUE_MIN	TORQUE_MAX	BIT_RPM	FLOWIN	FLOWOUT	PUMP_AVG	MWIN	MWOUT	MTIN	MTOUT	PITTOT	TBR
mMDRT	mTVDRT	m/hr	klbs	kft.lb	kft.lb	kft.lb	rpm	gal/min	gal/min	psi	sg	sg	degC	degC	bbls	

1343	1342.98	197	1.4	0	0	0	11	85	6	80	1.03	1.03	26.7	29.3	-999.25	5
1344	1343.98	205.4	5.6	0	0	0	12	98	5	183	1.03	1.03	26.7	29.3	-999.25	9
1345	1344.98	154.4	6.4	0	0	0	38	303	6	263	1.03	1.03	26.7	29.3	-999.25	20
1346	1345.98	160.7	3.5	0	0	0	41	322	6	264	1.03	1.03	26.7	29.3	-999.25	35
1347	1346.98	134.4	4.4	0	0	0	41	324	6	269	1.03	1.03	26.7	29.3	-999.25	54
1348	1347.98	115.3	6.1	0	0	0	42	329	6	318	1.03	1.03	26.7	29.2	-999.25	78
1349	1348.98	99.3	9.3	0	0	0	45	355	6	311	1.03	1.03	26.7	29.2	-999.25	107
1350	1349.98	67.4	9.1	0	0	0	48	382	6	382	1.03	1.03	26.7	29.2	-999.25	147
1351	1350.98	88.2	9.6	0	0	0	70	559	6	698	1.03	1.03	26.7	29.3	-999.25	190
1352	1351.98	95.7	8.7	0	0	0	79	627	6	761	1.03	1.03	26.7	29.2	-999.25	240
1353	1352.98	64.1	6.1	0	0	0	82	644	6	815	1.03	1.03	26.7	29.2	-999.25	325
1354	1353.98	60.3	5.9	0	0	0	90	706	6	937	1.03	1.03	26.7	29.2	-999.25	417
1355	1354.98	81.5	5.4	0	0	0	91	716	6	940	1.03	1.03	26.7	29.2	-999.25	479
1356	1355.98	89.7	7.4	0	0	0	96	762	6	981	1.03	1.03	26.7	29.1	-999.25	540
1357	1356.98	71.1	3.2	0	0	0	114	897	6	1379	1.03	1.03	26.7	29.1	-999.25	653
1358	1357.98	104.2	7.6	0	0	0	112	882	6	1356	1.03	1.03	26.8	29.1	-999.25	717
1359	1358.98	115.5	12	0	0	0	120	951	6	1634	1.03	1.03	26.8	29.1	-999.25	780
1360	1359.98	120.1	12.8	0	0	0	128	1012	6	1738	1.03	1.03	26.8	29.1	-999.25	844
1361	1360.98	115.1	18.9	0	0	0	130	1027	6	1794	1.03	1.03	26.8	29.1	-999.25	913
1362	1361.98	113.9	15.2	0	0	0	133	1051	6	1905	1.03	1.03	26.8	29.1	-999.25	981
1363	1362.98	69.3	10.8	0	0	0	137	1078	6	1948	1.03	1.03	26.8	29.1	-999.25	1099
1364	1363.98	54.2	9.9	0	0	0	124	990	6	1954	1.03	1.03	26.8	29	-999.25	1250
1365	1364.98	157.6	18.1	0	0	0	139	1102	6	2208	1.03	1.03	26.8	29	-999.25	1295
1366	1365.98	173.3	22.5	0	0	0	141	1108	6	2194	1.03	1.03	26.9	29	-999.25	1344
1367	1366.98	161.8	22.7	0	0	0	141	1107	7	2198	1.03	1.03	26.8	29	-999.25	1398
1368	1367.98	132	27.4	0	0	0	141	1109	6	2281	1.03	1.03	26.8	29	-999.25	1464
1369	1368.98	133.6	27.9	0	0	0	144	1135	5	2186	1.03	1.03	26.8	29	-999.25	1529
1370	1369.98	119.9	27.9	0	0	0	145	1139	5	2181	1.03	1.03	26.8	29.1	-999.25	1599
1371	1370.98	125	29.6	0	0	0	145	1140	6	2176	1.03	1.03	26.8	29.1	-999.25	1666
1372	1371.98	91.6	32	0	0	0	145	1140	6	2200	1.03	1.03	26.8	29.1	-999.25	1767
1373	1372.98	60.7	23.2	0	0	0	145	1143	6	2353	1.03	1.03	26.8	29	-999.25	1919
1374	1373.98	60.3	24.1	0	0	0	146	1148	5	2363	1.03	1.03	26.8	29	-999.25	2048
1375	1374.98	77.2	30.6	0	0	0	146	1148	6	2325	1.03	1.03	26.8	29	-999.25	2160
1376	1375.98	83.5	31.8	0	0	0	147	1154	6	2232	1.03	1.03	26.8	29	-999.25	2255
1377	1376.98	81.6	37.3	0	0	0	147	1155	5	2225	1.03	1.03	26.9	29	-999.25	2355
1378	1377.98	48.4	33.6	0	0	0	127	996	5	1680	1.03	1.03	26.8	29	-999.25	2575
1379	1378.98	22.4	35.5	0	0	0.1	134	1057	5	1828	1.03	1.03	26.9	29	-999.25	2929
1380	1379.98	18.8	36.5	0	0	0	125	982	6	1616	1.03	1.03	26.9	29	-999.25	3341
1381	1380.98	19.3	53.1	0	0	0	122	963	6	1701	1.03	1.03	26.9	29	-999.25	3698
1382	1381.98	9.3	53.6	0	0	0	132	1043	3	1834	1.03	1.03	26.9	29	-999.25	5011
1383	1382.98	11.2	68.8	0	0	0	140	1100	6	2143	1.03	1.03	26.9	29	-999.25	5505
1384	1383.98	15.7	64.7	0	0	0	140	1104	6	2025	1.03	1.03	26.9	29	-999.25	6031
1385	1384.98	18.2	65.6	0	0	0	140	1105	6	2024	1.03	1.03	26.8	29	-999.25	6435
1386	1385.98	26.1	78.1	0	0	0	141	1107	6	2032	1.03	1.03	26.7	28.9	-999.25	6775
1387	1386.98	30.1	72.5	0	0	0	141	1107	6	2034	1.03	1.03	26.7	28.9	-999.25	7068
1388	1387.98	21	78.7	0	0	0	140	1106	6	2042	1.03	1.03	26.7	28.9	-999.25	7522
1389	1388.98	10.4	76.3	0	0	0	140	1102	6	2076	1.03	1.03	26.6	28.9	-999.25	8990
1390	1389.98	33.1	96	0	0	0	140	1104	6	2012	1.03	1.03	26.7	28.9	-999.25	10970
1391	1390.98	66.8	96	0	0	0	140	1104	5	2028	1.03	1.03	26.7	28.9	-999.25	11092
1392	1391.98	55.7	92.8	0	0	0	140	1105	6	2014	1.03	1.03	26.7	28.8	-999.25	11258
1393	1392.98	55.8	92.8	0	0	0	140	1104	6	2016	1.03	1.03	26.7	28.9	-999.25	11410
1394	1393.98	49.9	94	0	0	3.2	141	1110	4	2103	1.03	1.03	26.7	28.9	-999.25	11588
1395	1394.98	57.6	91.5	0	0	0	141	1112	8	2187	1.03	1.03	26.8	28.9	-999.25	11727
1396	1395.98	79.6	89.9	0	0	0	142	1115	5	2099	1.03	1.03	26.9	28.9	-999.25	11835
