********************************************************************************	

Well:	Noblige-1
Path:	Original Path
Hole:	Original Path Hole
Start:	2426.00(m)
End:	4581.00(m)
Date/Time:	"Thursday, January 28, 2010 /05:11:22"


********************************************************************************	
Disclaimer	
"Any opinion and / or recommendation expressed orally or written herein, has been prepared"	
"carefully and may be used if the user so elects, however, no representative or warranty is"	
"made by ourselves or our agents as to the correctness or completeness, and no liability is"	
assumed for any damages resulting from use of the same.  INTEQ's liabilities and obligations	
shall be governed by INTEQ's Standard Terms and Conditions.											
********************************************************************************											


DEPTH(m)	TOTGAS_MAX(%)	CHR1C1_AVG(%)	CHR1C2_AVG(%)	CHR1C3_AVG(%)	CHR1IC4_AVG(%)	CHR1NC4_AVG(%)	CHR1IC5_AVG(%)	CHR1NC5_AVG(%)	CO2(%)	H2S1_AVG(%)	TVD(m)


2426	0.02	0.016	0	0	0	0	0	0	0.0019	0	2425.95
2427	0.0099	0.006	0	0	0	0	0	0	0.0027	0	2426.95
2428	0.0162	0.007	-0.0003	-0.0002	0	-0.0002	0	0	0.0014	0	2427.95
2429	0.012	0.004	0	0	0	0.0001	0	0	0.0032	0	2428.95
2430	0.0123	0.005	0	0	0	0.0001	0	0	0.0037	0	2429.95
2431	0.0113	0.005	0	0	0	0.0001	0	0	0.0046	0	2430.95
2432	0.0206	0.012	0	0	0	0.0002	0	0	0.0006	0	2431.95
2433	0.0206	0.011	0	0	0	0.0001	0	0	0.0004	0	2432.95
2434	0.0129	0.005	0	0	0	0.0001	0	0	0	0	2433.95
2435	0.0104	0.005	0	0	0	0.0001	0	0	0.0005	0	2434.95
2436	0.0182	0.01	0	0	0	0.0001	0	0	0.001	0	2435.95
2437	0.0117	0.006	0	0	0	0.0001	0	0	0.0016	0	2436.95
2438	0.0161	0.009	0	0	0	0.0001	0	0	0.0042	0	2437.95
2439	0.0207	0.011	0	0	0	0.0001	0	0	0.0028	0	2438.95
2440	0.0113	0.005	0	0	0	0.0001	0	0	0	0	2439.95
2441	0.0144	0.008	0	0	0	0.0001	0	0	0	0	2440.95
2442	0.0202	0.0095	0	0	0	0.0001	0	0	0.0009	0	2441.95
2443	0.0237	0.009	0	0	0	0.0001	0	0	0.0007	0	2442.95
2444	0.0146	0.007	0	0	0	0.0001	0	0	0.0053	0	2443.95
2445	0.009	0.005	0	0	0	0.0001	0	0	0.0011	0	2444.95
2446	0.0085	0.005	0.0001	0	0	0.0001	0	0	0.0028	0	2445.95
2447	0.0082	0.005	0.0001	0	0	0.0001	0	0	0.0018	0	2446.95
2448	0.0081	0.005	0	0	0	0.0001	0	0	0.0043	0	2447.95
2449	0.0087	0.005	0	0	0	0.0001	0	0	0	0	2448.95
2450	0.0081	0.005	0	0	0	0.0001	0	0	0.0002	0	2449.95
2451	0.0098	0.005	0	0	0	0.0001	0	0	0.001	0	2450.95
2452	0.0078	0.005	0	0	0	0.0001	0	0	0	0	2451.95
2453	0.0077	0.004	0	0	0	0.0001	0	0	0.0047	0	2452.95
2454	0.0078	0.005	0.0003	0	0	0.0001	0	0	0.0038	0	2453.95
2455	0.0077	0.005	0	0	0	0.0001	0	0	0	0	2454.95
